,title,response
17,<start> feeling like there is no way out <end>,"<start> this sounds beyond really tough my father was a psychiatrist who suffered with depression and anxiety his whole life i have lived with depression and anxiety all my life , but probably never to the degree and length that you describe if you have the means , i would look into a deep brain stimulator i know it sounds barbaric , but it has transformed many lives agoraphobics who now have significant others and take hours to get ready and convince themselves to leave the house are cured i know this is a long shot , but i read a little bit about a lady who was cured with this device that had it placed in boston one thing i do know , is you matter and your life is significant , and just being is enough downshifting in to survival mode until you get better is ok and you are admirable for reaching out keep soldiering in the fight i think sometimes words can not help and anything i say does not do justice to what you are having to go through but , i hope you find relief soon i believe it will happen . . . . stay curious about different ways that alleviate mood and maybe something will give you some traction with much admiration for difficult fight , good on ya for battling , cheers , me . <end>"
18,"<start> this sounds beyond really tough my father was a psychiatrist who suffered with depression and anxiety his whole life i have lived with depression and anxiety all my life , but probably never to the degree and length that you describe if you have the means , i would look into a deep brain stimulator i know it sounds barbaric , but it has transformed many lives agoraphobics who now have significant others and take hours to get ready and convince themselves to leave the house are cured i know this is a long shot , but i read a little bit about a lady who was cured with this device that had it placed in boston one thing i do know , is you matter and your life is significant , and just being is enough downshifting in to survival mode until you get better is ok and you are admirable for reaching out keep soldiering in the fight i think sometimes words can not help and anything i say does not do justice to what you are having to go through but , i hope you find relief soon i believe it will happen . . . . stay curious about different ways that alleviate mood and maybe something will give you some traction with much admiration for difficult fight , good on ya for battling , cheers , me . <end>","<start> thanks so much for the reply , i can not tell you how much it means that you took the time to post something so encouraging . especially the thing about survival mode i really needed that validation . i am sorry you have to deal with depression anxiety as well , it is a rough time on any level . i hope that with your father being a psychiatrist , you get regular support , although i know it is different when it is a family member . i will look into that i was interested in deep brain stimulation electroshock therapy is that the same thing but i have never heard of anyone suggesting it before , so i really do not know much about it . it would be worth it to look at i have also been really interested in all of the data coming out on rooms , and if i am ever in the position to try them seems unlikely in the near future , but still i am definitely going to . anyway , thanks so much again <end>"
19,"<start> thanks so much for the reply , i can not tell you how much it means that you took the time to post something so encouraging . especially the thing about survival mode i really needed that validation . i am sorry you have to deal with depression anxiety as well , it is a rough time on any level . i hope that with your father being a psychiatrist , you get regular support , although i know it is different when it is a family member . i will look into that i was interested in deep brain stimulation electroshock therapy is that the same thing but i have never heard of anyone suggesting it before , so i really do not know much about it . it would be worth it to look at i have also been really interested in all of the data coming out on rooms , and if i am ever in the position to try them seems unlikely in the near future , but still i am definitely going to . anyway , thanks so much again <end>","<start> the deep brain stimulator is not ect or the sessions where you go for deep brain stimulation now i know this may be a last resort i do not know if your close to the point of trying something like this , but a battery is implanted that is connected to wires that implant into your brain they map your brain and see the area that needs stimulation and connect the wires to deliver the electricity to those areas they turn it on and set it from anywhere between millivolts i think this is correct most people start at a if it works , people get immediate relief it stays on all the time i think some turn it off when they go to sleep do not know if your ready for this drastic of a procedure , but the article i read seemed very promising keep up your good work o . <end>"
20,"<start> the deep brain stimulator is not ect or the sessions where you go for deep brain stimulation now i know this may be a last resort i do not know if your close to the point of trying something like this , but a battery is implanted that is connected to wires that implant into your brain they map your brain and see the area that needs stimulation and connect the wires to deliver the electricity to those areas they turn it on and set it from anywhere between millivolts i think this is correct most people start at a if it works , people get immediate relief it stays on all the time i think some turn it off when they go to sleep do not know if your ready for this drastic of a procedure , but the article i read seemed very promising keep up your good work o . <end>",<start> also look into ketamine injections these have been showing great promise to alleviate long lasting major depression <end>
21,"<start> i keep wishing something would happen that would put me in the hospital , which is stupid , but i can not help the thoughts <end>","<start> hi first , i am sorry you feel this way . the type of loneliness that comes from feeling unnoticed or not cared for by your friends and family is so painful . it is so important to feel wanted as human beings , that when we do not get that feeling , we can go to some real dark places . i would say that it is not unhealthy to think the way you are describing it is actually probably a sign that you are brain is functioning , socially , at a normal level , because it understands that it is missing something in the relationships you have . it sounds like a pretty reasonable coping mechanism , to me . what is not healthy is that you do not feel validated or cared for in your relationships . that one is harder to address , for you and for someone over the internet . you deserve friends who care about you and listen to you , and you deserve to feel fulfilled by your relationships with others . if the people around you can not do that for you , i would say those are not not healthy friendships , and perhaps taking steps to find better relationships would be a good place to start i know easier said than done . if the fantasies stem from a desire for people to care about you , but you feel unnerved by the content , you could try to imagine scenarios in which you do good things for your friends that make them pay attention , such as saving them from a speeding car or taking care of them while they are sick . i do not know if that would help , but it might be an interesting thing to try . bottom line is that i do not think there is anything wrong with you , besides some friends who seem not to treat you right . i hope you find some genuine friends , the kind you deserve , and in the mean time , i hope you do not beat yourself up too bad about your brain s coping mechanisms . it is allyl good edit if there is any chance of you seeing a professional counselor , therapist , whoever , please take it it can potentially change your life in a really good way . <end>"
22,"<start> hi first , i am sorry you feel this way . the type of loneliness that comes from feeling unnoticed or not cared for by your friends and family is so painful . it is so important to feel wanted as human beings , that when we do not get that feeling , we can go to some real dark places . i would say that it is not unhealthy to think the way you are describing it is actually probably a sign that you are brain is functioning , socially , at a normal level , because it understands that it is missing something in the relationships you have . it sounds like a pretty reasonable coping mechanism , to me . what is not healthy is that you do not feel validated or cared for in your relationships . that one is harder to address , for you and for someone over the internet . you deserve friends who care about you and listen to you , and you deserve to feel fulfilled by your relationships with others . if the people around you can not do that for you , i would say those are not not healthy friendships , and perhaps taking steps to find better relationships would be a good place to start i know easier said than done . if the fantasies stem from a desire for people to care about you , but you feel unnerved by the content , you could try to imagine scenarios in which you do good things for your friends that make them pay attention , such as saving them from a speeding car or taking care of them while they are sick . i do not know if that would help , but it might be an interesting thing to try . bottom line is that i do not think there is anything wrong with you , besides some friends who seem not to treat you right . i hope you find some genuine friends , the kind you deserve , and in the mean time , i hope you do not beat yourself up too bad about your brain s coping mechanisms . it is allyl good edit if there is any chance of you seeing a professional counselor , therapist , whoever , please take it it can potentially change your life in a really good way . <end>","<start> www , thank you . this is a really nice reply . i do have the fantasizing in which i am the good guy helper as well as this stuff , but the thing is my friends already appreciate me in that sense . i just changed schools and this year has been my most successful social year it is more like i feel i can not talk to them , and then that manifests into the other thing . but self awareness is not enough to just make the feeling go away . i went to extensive anxiety therapy that worked like a charm , but when we got onto the topic of depression it did not really work . my mom also decided that i was cured and i agreed to end the therapy , because alongside singing classes it amounted to a lot of muns . my mom is very caring , but she is also a hotheaded know it all that believes she is always right . she is very opinionated , and it is hard to approach her with this stuff because i have no idea how she will react . a few years ago i told her i was depressed , i got yelled at for threatening her with suicide a few years later and alongside the therapist i told her , and she was all oh my bunny why did not you tell me i will always be here for you . sorry for the tangent basically what i am saying is my friends do care , but people my age do not really know what to do with that stuff . i do have one friend who is always the sweetest person in the world and cares when i say hey , i am feeling down . people do care even if they do not know how to reply , or they think it is a joke , but for some reason i can not let go of the thought that everyone hates me . and as an example a very , very close friend blamed it on age when i approached her with it , but we are really good friends and love spending time together . i do not know where i am going with this i am tired but thank you you are very kind <end>"
23,<start> advice pool finding supportive friends <end>,"<start> i do not think friends in particular can always take you out of slumps , but as someone who struggles with depression , finding friends who give you energy and nurture you as a person are important . friends who love you as you are and are willing to listen with no judgement . <end>"
24,"<start> no longer so suicidal , but still have death envy is that normal healthy <end>",<start> same . it is probably not healthy but it is better than catching the bus <end>
25,<start> energy vampire <end>,"<start> give it some time . it takes a few months for your body to adjust to the meds . sleep will be your best friend in terms of getting your body rested so you can deal with work during the day . try getting in a habit of bed time routine , turning on the night modes for your electronics , having a bed time and what not . if that does not work , ask your doctor if there something to help you sleep . give it some time . good luck . <end>"
26,<start> i am so depressed lately any advice would help <end>,"<start> so hey i have been married and had kids and created the job i dreamed of and my partners have screwed me over severely and succeeded at my expense . lost everything could not raid the kids or have the family i k ew i was capable of because i trusted the wrong people and invested in them . one success and failure after another . having kids not really so great either . they are dreams that failed to happen for you and nightmares i would rather not have had to deal with . i worked my ass off and have nothing of value except this i finally deaf . do not care what people think their opinions do not pay my bills or keep me warm at night . we have both done our best . i will tell you my career took off at your age and if i had not been married to a pathological lying , thieving cheat and trying to help out my kids making their father s selfish failing up to them i could have traveled and taken better care of myself and done something s and met some fun people . go f ing do that . where would go if you could take one trip . f ing go there . what is on your damn bucket list besides parasitic people do not have one make one . what else are you going to do i am buying a car tomorrow and then looking for a tiny studio or room to rent . then i am going to work on my list damn it . would i love a partner sure i would . not going to risk the pain . and i am redrawing boundaries and cutting people loose . f this . i am sick of it . i will always be depressed and disappointed but damn it there will be some check marks the next few months . happy no . but going through the f ing motions . <end>"
27,<start> i will never find love again <end>,<start> one of the worst things ever is when you already feel horrible and someone makes you feel worse . there are people out there who care about you still . i know that does not make it feel better but that means that you have people who want you to keep fighting and keep trying . <end>
28,<start> they all leave in the end <end>,<start> please keep trying the world needs you more than you could ever know . <end>
29,<start> my friend needs help <end>,<start> i deal with a friend like this . if you need to tell and authority you need to . he may threaten you with his life but he needs to be safe . thank you for being a strong person and caring for your friend so much . <end>
30,<start> i deal with a friend like this . if you need to tell and authority you need to . he may threaten you with his life but he needs to be safe . thank you for being a strong person and caring for your friend so much . <end>,<start> thank you <end>
31,<start> disconnected from family <end>,<start> did you try talking to your parents about it communications between teenagers and parents can be difficult but it is important to try it anyway . <end>
32,<start> did you try talking to your parents about it communications between teenagers and parents can be difficult but it is important to try it anyway . <end>,"<start> i have tried . unfortunately the response i got was i did not have energy because i was not taking my vitamins . and just an supporting argument of the fact i am useless around the house . i have started taking the vitamins so maybe i can try again i am still scared of another excuse though . i have a lot of trouble with getting all my feelings out before being contradicted though , which can make discussions hard . i just do not know how to give my side fully and tell them . <end>"
33,"<start> for me , the end is near , but too far to reach . <end>",<start> positive vibes your way my dude . i am glad you are tough enough to stick out the hard times <end>
34,<start> i need help its bad <end>,<start> please do not die you matter so much more than you know you do you can try testing but i promise you that we need you . <end>
35,<start> please do not die you matter so much more than you know you do you can try testing but i promise you that we need you . <end>,"<start> you do not , from what i can fathom . but atm i am actually too weak to get out of bed do not even care to eat and am slowly starving to death so it would be passive most likely . unless i can muster up strength to go pick up the pills . <end>"
36,"<start> you do not , from what i can fathom . but atm i am actually too weak to get out of bed do not even care to eat and am slowly starving to death so it would be passive most likely . unless i can muster up strength to go pick up the pills . <end>",<start> please try to get help text the crisis textrine try another hotline if you feel this unsafe please call . you do not understand how important you are or what you could end up doing for someone in the future . if you even just have a friend or family member you can talk to call them . <end>
37,<start> i originally posted this in r depression but this is a better place for it i think <end>,"<start> i can deny with a lot of this . i was depressed and a bit of a loner in high school . still , when school ended i just drifted for awhile . zero structure in my life . no routine , no ambition , no interest in college , no friends . i think you owe it to yourself to try to get some routine with your life , maybe starting with a consistent , normal sleep schedule . do not worry about bigger issues for now , you need to give yourself a chance at coming out of this first . <end>"
38,"<start> i can deny with a lot of this . i was depressed and a bit of a loner in high school . still , when school ended i just drifted for awhile . zero structure in my life . no routine , no ambition , no interest in college , no friends . i think you owe it to yourself to try to get some routine with your life , maybe starting with a consistent , normal sleep schedule . do not worry about bigger issues for now , you need to give yourself a chance at coming out of this first . <end>","<start> thank you for the compliment . with my sleep schedule situation . . . honestly , it pretty jacked up , you know like going to bed at am on a school night because my brain just will not shut up . but anyway thank you for replying kind stranger . from another stranger on the interweld <end>"
39,<start> i need help <end>,"<start> well why do not you come up with a plan with your therapist on how to slowly detach from your boyfriend . find people you can talk to daily , find and practice coping skills that do not involve him <end>"
40,"<start> friend needs help not sure what to suggest , or even if i should <end>",<start> this is one of the hardest things to deal with you can suggest that they text or tell to call a hotline and encourage them to get help and always be there to listen if it gets too dangerous you can give the police their phone number . <end>
41,<start> how i faced and overcome depression <end>,<start> i am happy for you bro <end>
42,<start> i am happy for you bro <end>,"<start> thank you very much i really hope those who read it , will be too one day . <end>"
45,<start> help please <end>,"<start> would you mind reading a book i could recommend one to you that helped me a lot . the book describes methods , that actually change your habits a lot , which you are not even aware of . <end>"
46,"<start> would you mind reading a book i could recommend one to you that helped me a lot . the book describes methods , that actually change your habits a lot , which you are not even aware of . <end>",<start> i would love a book recommendation <end>
47,<start> i would love a book recommendation <end>,"<start> the title is switch how to change things when change is hard . it helped my a tremendous amount , since it shows you a lot of ways , in which you can improve on your habits . and i know title sounds very corny , but the material is very good . <end>"
48,<start> downward spiral after being dumped by someone who was never even my bf <end>,<start> the way people treat us often has more to do with how they feel about themselves and not how they feel about you . a decent man will not care about your weight and he will see all the wonderful things your personality has to offer it all sounds cliche but it is so incredibly important that you do not base your worth on how others have treated you . i know that does not really make it better but it is the best advice i can offer . <end>
49,<start> the way people treat us often has more to do with how they feel about themselves and not how they feel about you . a decent man will not care about your weight and he will see all the wonderful things your personality has to offer it all sounds cliche but it is so incredibly important that you do not base your worth on how others have treated you . i know that does not really make it better but it is the best advice i can offer . <end>,"<start> i get it . it is just that we are social beings and i feel like no one really does well in isolation , never having physical touch . i am so starved for it and so lonely . i guess some people can be happy without a partner or sex but i really want those things in my life . i have great friends , a good job , close family , and i was doing really well this spring . it is just that romantic love is this giant hole in my life . i feel like i can connect with people for friendships just fine but no one wants me romantically and it just really sucks . just being rejected by someone i really like has thrown me for a loop . my coworkers have been telling me i look sad . i feel cheated out of a normal life because of depression . i have missed out in normal things that everyone enjoys from prom date pictures , bringing someone home to meet the family , someone to come home to at night , to going to couples parties and not being the only single person out of ppl , and instead met with judgement from people in my life and society . its really hard not to assume the worse about myself bec of the way i have been treated . i was harassed really bad growing up and senior year of hs i had to eat lunch in the bathroom clot bc all my friends rejected me . in college i watched my new friends go on dates and get boyfriends . now i am watching as they plan their future kids names and i am still sitting by the sidelines . <end>"
50,"<start> i get it . it is just that we are social beings and i feel like no one really does well in isolation , never having physical touch . i am so starved for it and so lonely . i guess some people can be happy without a partner or sex but i really want those things in my life . i have great friends , a good job , close family , and i was doing really well this spring . it is just that romantic love is this giant hole in my life . i feel like i can connect with people for friendships just fine but no one wants me romantically and it just really sucks . just being rejected by someone i really like has thrown me for a loop . my coworkers have been telling me i look sad . i feel cheated out of a normal life because of depression . i have missed out in normal things that everyone enjoys from prom date pictures , bringing someone home to meet the family , someone to come home to at night , to going to couples parties and not being the only single person out of ppl , and instead met with judgement from people in my life and society . its really hard not to assume the worse about myself bec of the way i have been treated . i was harassed really bad growing up and senior year of hs i had to eat lunch in the bathroom clot bc all my friends rejected me . in college i watched my new friends go on dates and get boyfriends . now i am watching as they plan their future kids names and i am still sitting by the sidelines . <end>",<start> of marriages fail so waiting is not bad if you have to wait i am sorry but hopefully you will find someone whose perfect for you an that is something you friends may not truly have i am sorry that this is so hard for you i hope it gets better soon . i know that i do not really understand i have never dated someone because no one in my area interests me and i do not want to worry about that but i still have sexual feelings it can be hard and on top of that i am a pretty religious person ik that is kinda frowned upon these days and therefore i do not fully understand but i do somewhat and i am so sorry you feel rejected . you deserve someone who really cares about you . <end>
51,<start> i feel like i will not make it to <end>,<start> keep fighting no matter how bad you feel about yourself someone needs you more than you know i am not a professional and i wish i could help more . i know it is all cliche and i am a just s stranger but i know that you are here for a reason and your life matters . <end>
52,<start> losing a parent <end>,"<start> who i am seeing from your post is a person who is free of control from a self centered person and can mourn the death of a beloved parent on their own space and peacefulness . approach the five stages of grief which does overlap that you will always miss your parent and that is a good thing , because you had someone in your life you loved and be loved by them . my bill lost his brother more than years ago . he still misses him and cries occasionally . that is very normal and good behavior . loosing someone so close does affect you . let it . but , be assertive on how much it changes you and concentrate on taking control of things and thoughts you can control . when something important day to day activities seem troublesome take professional help . if possible , get a grievance counsellor none the less <end>"
53,"<start> who i am seeing from your post is a person who is free of control from a self centered person and can mourn the death of a beloved parent on their own space and peacefulness . approach the five stages of grief which does overlap that you will always miss your parent and that is a good thing , because you had someone in your life you loved and be loved by them . my bill lost his brother more than years ago . he still misses him and cries occasionally . that is very normal and good behavior . loosing someone so close does affect you . let it . but , be assertive on how much it changes you and concentrate on taking control of things and thoughts you can control . when something important day to day activities seem troublesome take professional help . if possible , get a grievance counsellor none the less <end>","<start> thank you i think what made this hard for me is that i was expecting at least some form of maturity and comfort being in a long term relationship , we did everything together so after losing that relationship during a hard time in my life has me feeling lonely and confused . however i am relieved that i am free from that <end>"
54,"<start> thank you i think what made this hard for me is that i was expecting at least some form of maturity and comfort being in a long term relationship , we did everything together so after losing that relationship during a hard time in my life has me feeling lonely and confused . however i am relieved that i am free from that <end>",<start> happy to be of help . . <end>
55,<start> work is pressing into my depression . <end>,"<start> there was a point in my life where all i did was work , school , sleep , repeat . when i was in the moment , i was doing great with school and work . eventually though , i burnt out . i lost my passion in everything outside of work and school because my life revolved around nothing outside of it . in a sense , i forgot how to have fun and be happy . i personally do not think you staying is worth all the stress . now maybe you should wait a little longer to see if things turn up but your happiness should come first <end>"
56,<start> how do i convince my wife that watching the news first thing in the morning is hard on mental health for the day . <end>,"<start> i think a talking to her about what it reminds you of and just how badly it affects you talk about afghanistan and your daughter , and b getting her to read articles studies on the subject . it is well known that the negative news cycle is bad for mental health . here are a few articles to get started zootherapy . org http www . zootherapy . org blog how the negative news cycle can impact mental health huffiest http www . huffingtonpost . co . uk violent media anxiety n . html accounter puce referrer air chm ly kdwnrzhvja dvlmnvbs puce referrer sig aqaaadlmh syr of q gee gdlmhjja ti n vsmzhogg mwbttu nqfmlrpqbrf vre own rf fly n y who teguluiwr lfpyifvdmexnd jinking of xyzimhcwrdrk rreptgqr p ztnhtyc gown idol medical journalism site http www . medicaldaily . com psychological effect bad news and what you can do stay positive have a conversation with her about compromising a bit . say you understand not wanting interruptions , but maybe she could cut back on how often she watches it once every days instead of daily , or how long say for minutes instead of an hour , or instead of , or whatever . the articles above point out the negative impacts of staying in the loop , as you put it , so they will hopefully help . and you could see if she would be willing to read more news on her phone , for example instead of watching it . this a means you can avoid it easier and b is better for her as well reading the news makes it easier to process and has less of a negative impact on mental health than watching the news . <end>"
57,"<start> i have been battling depression for a long time now , this is just in case i am at the lowest of lows . <end>",<start> i am so glad you found some good friends . always remember that it is not your fault that some people are just total jerks and it is not because you have done anything or you deserve it . you are a human you deserve to be cared for . <end>
58,<start> i am so glad you found some good friends . always remember that it is not your fault that some people are just total jerks and it is not because you have done anything or you deserve it . you are a human you deserve to be cared for . <end>,"<start> thank you so much , i am really touched . <end>"
59,<start> i am a disappointment <end>,<start> you have higher education than most people i know you have put in time and work for this i do not know much about anything but i am sure that you are capable and someday a job will come around for . do not give up hope . <end>
60,"<start> year old male , why am i depressed . . . . <end>","<start> depression has a range of causes and a range of effects , the most prominent being the chemical side . it is likely due to some unforeseen because that you are experiencing a severe lack of serotonin . video games are not a drug like the media claims but the feeling of success just by doing something you can believe is productive or healthy like running will have a placebo effect on your body . if this still persists i would recommend taking a light antidepressant . you are in the early stages , and the fact you have highlighted it means you can stop it in the early stages . <end>"
61,"<start> depression has a range of causes and a range of effects , the most prominent being the chemical side . it is likely due to some unforeseen because that you are experiencing a severe lack of serotonin . video games are not a drug like the media claims but the feeling of success just by doing something you can believe is productive or healthy like running will have a placebo effect on your body . if this still persists i would recommend taking a light antidepressant . you are in the early stages , and the fact you have highlighted it means you can stop it in the early stages . <end>","<start> yeah i know video games are not actually a drug , but the way i describe me playing video games to my therapist i basically tell him it is the only escape that i have from my constant headaches , my fatigue , and a majority of my other symptoms . when i play my games , i am my normal self . and when i quit i want to figure out when the next time i can play again . and my friends are always testing me , telling me to get on and play with them . so to me , playing video games is my drug , just like how some people turn to alcohol when they are feeling upset . except my drug is not as dangerous then real drugs . i am on lexapro mg , emerson mg , and those seem to help with my anxiety and sleep issues , but not my overall depression . i still wake up sad , and a constant headaches . it is just lexapro tends to ease my anxiety over my depression , and then emerson helps me sleep at night . <end>"
62,<start> i am so depressed today and i do not know why <end>,"<start> man i feel you . i just had an embarrassing mental breakdown in front of my family and i sobbed like a baby low . some days are going to be worse than others , but tomorrow will be better , if only a little . depression does not always come with a reason , sometimes it is just that piece of shit asshole who comes at inconvenient times . <end>"
63,"<start> man i feel you . i just had an embarrassing mental breakdown in front of my family and i sobbed like a baby low . some days are going to be worse than others , but tomorrow will be better , if only a little . depression does not always come with a reason , sometimes it is just that piece of shit asshole who comes at inconvenient times . <end>",<start> thankyou . sorry you had to go through that . <end>
64,<start> do i just need attention <end>,<start> it is not asking for attention . if you need to pus talk to someone who your close to or talk to a professional . whenever i am thinking about killing myself what i usually do is think about what i have to be grateful for and what the people i love had provided me with . maybe that could help for you too <end>
65,<start> it is not asking for attention . if you need to pus talk to someone who your close to or talk to a professional . whenever i am thinking about killing myself what i usually do is think about what i have to be grateful for and what the people i love had provided me with . maybe that could help for you too <end>,<start> thank you so much for taking a second to care . <end>
66,<start> thank you so much for taking a second to care . <end>,<start> no problem . i know what it feels like to not have anyone to talk to . <end>
67,<start> no problem . i know what it feels like to not have anyone to talk to . <end>,<start> i hope you are having a good day yourself <end>
68,<start> i hope you are having a good day yourself <end>,<start> thanks . today is a good day for me . usually my depression comes out of nowhere but today i do not have any episodes yet . <end>
69,<start> thanks . today is a good day for me . usually my depression comes out of nowhere but today i do not have any episodes yet . <end>,<start> well stay strong and have a good day . <end>
70,<start> now what . . . <end>,<start> it can be so hard when you feel like you are not getting much better but you are still here and you are still fighting and you deserve to feel accomplished just for that . <end>
71,<start> it can be so hard when you feel like you are not getting much better but you are still here and you are still fighting and you deserve to feel accomplished just for that . <end>,"<start> my head knows that . my heart does not . it just hurts . . . all the time . thank you , having people understand but not wanting to fix me is already more support i would ever expect to find online and yet it is the only type of support i need which i am not getting girl . <end>"
